,filename,total_duration,nod_count,shake_count
0,483_EventToErase_FACE.csv,80.6,140,68
1,483_MostProudOf_FACE.csv,24.633333333333333,27,26
2,483_LastTimeHappy_FACE.csv,10.7,12,12
3,483_HardestDecision_FACE.csv,43.833333333333336,66,21
4,483_SituationHandledDifferent_FACE.csv,68.7,107,25
5,483_LastArgument_FACE.csv,3.4,1,1
6,466_MostProudOf_FACE.csv,51.4,131,55
7,466_SituationHandledDifferent_FACE.csv,13.233333333333333,33,18
8,466_HowCloseToFamily_FACE.csv,16.8,49,11
9,466_LastTimeHappy_FACE.csv,15.933333333333334,40,17
10,466_HardestDecision_FACE.csv,53.5,104,56
11,466_EventToErase_FACE.csv,87.4,240,83
12,466_LastArgument_FACE.csv,5.533333333333333,9,5
13,488_HowCloseToFamily_FACE.csv,47.5,75,21
14,488_SituationHandledDifferent_FACE.csv,21.2,40,13
15,488_LastTimeHappy_FACE.csv,20.733333333333334,41,13
16,488_EventToErase_FACE.csv,14.7,26,8
17,488_MostProudOf_FACE.csv,18.9,14,18
18,488_LastArgument_FACE.csv,22.833333333333332,28,11
19,482_HowCloseToFamily_FACE.csv,12.133333333333333,23,5
20,482_MostProudOf_FACE.csv,17.533333333333335,28,9
21,482_HardestDecision_FACE.csv,56.13333333333333,104,38
22,482_EventToErase_FACE.csv,20.9,35,13
23,482_LastArgument_FACE.csv,51.43333333333333,89,31
24,482_LastTimeHappy_FACE.csv,19.133333333333333,34,5
25,717_Guilty_FACE.csv,11.033333333333333,13,15
26,717_HardestDecision_FACE.csv,8.533333333333333,20,7
27,717_SituationHandledDifferent_FACE.csv,36.53333333333333,69,41
28,717_MostProudOf_FACE.csv,6.233333333333333,9,6
29,717_LastTimeHappy_FACE.csv,5.533333333333333,11,5
30,717_HowCloseToFamily_FACE.csv,6.333333333333333,6,5
31,717_EventToErase_FACE.csv,30.833333333333332,68,31
32,717_LastArgument_FACE.csv,53.03333333333333,76,42
33,695_HardestDecision_FACE.csv,15.933333333333334,24,9
34,695_Guilty_FACE.csv,2.3,5,1
35,695_LastTimeHappy_FACE.csv,8.7,15,8
36,695_EventToErase_FACE.csv,8.333333333333334,11,10
37,695_SituationHandledDifferent_FACE.csv,17.233333333333334,34,15
38,695_LastArgument_FACE.csv,28.533333333333335,52,19
39,695_HowCloseToFamily_FACE.csv,0.5333333333333333,0,0
40,695_MostProudOf_FACE.csv,8.033333333333333,14,5
41,708_HardestDecision_FACE.csv,21.5,47,7
42,708_Guilty_FACE.csv,4.433333333333334,8,2
43,708_MostProudOf_FACE.csv,3.8,8,4
44,708_EventToErase_FACE.csv,8.9,17,4
45,708_LastTimeHappy_FACE.csv,4.233333333333333,6,1
46,708_SituationHandledDifferent_FACE.csv,31.4,58,34
47,708_LastArgument_FACE.csv,4.233333333333333,10,2
48,708_HowCloseToFamily_FACE.csv,47.13333333333333,98,31
49,422_LastTimeHappy_FACE.csv,13.833333333333334,23,12
50,422_SituationHandledDifferent_FACE.csv,94.6,149,73
51,422_LastArgument_FACE.csv,8.533333333333333,19,8
52,422_EventToErase_FACE.csv,13.033333333333333,26,17
53,422_HardestDecision_FACE.csv,4.233333333333333,7,2
54,422_MostProudOf_FACE.csv,35.333333333333336,43,10
55,427_LastTimeHappy_FACE.csv,13.4,19,4
56,427_SituationHandledDifferent_FACE.csv,6.633333333333334,9,2
57,427_EventToErase_FACE.csv,11.633333333333333,14,8
58,427_LastArgument_FACE.csv,5.133333333333334,5,1
59,427_MostProudOf_FACE.csv,4.333333333333333,4,0
60,427_HardestDecision_FACE.csv,10.3,12,4
61,427_HowCloseToFamily_FACE.csv,3.7,7,0
62,697_HardestDecision_FACE.csv,22.533333333333335,46,7
63,697_EventToErase_FACE.csv,16.233333333333334,39,11
64,697_Guilty_FACE.csv,22.1,49,17
65,697_LastTimeHappy_FACE.csv,25.3,59,16
66,697_LastArgument_FACE.csv,13.533333333333333,25,6
67,697_HowCloseToFamily_FACE.csv,22.933333333333334,48,22
68,697_MostProudOf_FACE.csv,4.033333333333333,2,3
69,697_SituationHandledDifferent_FACE.csv,12.133333333333333,30,12
70,705_LastArgument_FACE.csv,5.2,8,5
71,705_HardestDecision_FACE.csv,4.633333333333334,8,0
72,705_SituationHandledDifferent_FACE.csv,11.933333333333334,18,17
73,705_EventToErase_FACE.csv,4.733333333333333,8,1
74,705_MostProudOf_FACE.csv,1.2333333333333334,2,0
75,705_Guilty_FACE.csv,3.5,6,2
76,705_HowCloseToFamily_FACE.csv,1.2333333333333334,1,0
77,705_LastTimeHappy_FACE.csv,6.3,4,5
78,702_HowCloseToFamily_FACE.csv,8.7,10,1
79,702_LastArgument_FACE.csv,9.133333333333333,5,1
80,702_SituationHandledDifferent_FACE.csv,4.033333333333333,3,0
81,702_Guilty_FACE.csv,9.633333333333333,7,8
82,702_HardestDecision_FACE.csv,1.9,2,1
83,702_EventToErase_FACE.csv,3.2333333333333334,6,1
84,702_LastTimeHappy_FACE.csv,10.7,17,2
85,653_HowCloseToFamily_FACE.csv,4.133333333333334,5,0
86,653_SituationHandledDifferent_FACE.csv,2.6,5,1
87,653_LastTimeHappy_FACE.csv,13.3,26,14
88,653_LastArgument_FACE.csv,8.833333333333334,15,7
89,653_Guilty_FACE.csv,1.8333333333333333,3,4
90,653_MostProudOf_FACE.csv,4.733333333333333,7,3
91,366_Guilty_FACE.csv,21.033333333333335,32,6
92,366_EventToErase_FACE.csv,14.333333333333334,17,0
93,366_LastArgument_FACE.csv,40.93333333333333,66,12
94,366_HowCloseToFamily_FACE.csv,15.833333333333334,28,11
95,366_MostProudOf_FACE.csv,24.1,36,4
96,445_MostProudOf_FACE.csv,8.933333333333334,19,2
97,445_Guilty_FACE.csv,17.9,39,1
98,445_LastTimeHappy_FACE.csv,10.033333333333333,20,1
99,445_SituationHandledDifferent_FACE.csv,14.233333333333333,29,1
100,445_HardestDecision_FACE.csv,18.4,40,0
101,445_LastArgument_FACE.csv,15.233333333333333,27,2
102,445_EventToErase_FACE.csv,12.933333333333334,34,2
103,383_HowCloseToFamily_FACE.csv,44.7,79,47
104,383_Guilty_FACE.csv,9.9,24,5
105,383_SituationHandledDifferent_FACE.csv,44.5,90,27
106,383_HardestDecision_FACE.csv,20.133333333333333,44,7
107,383_LastArgument_FACE.csv,35.43333333333333,70,30
108,383_EventToErase_FACE.csv,18.1,32,9
109,383_LastTimeHappy_FACE.csv,15.133333333333333,27,11
110,383_MostProudOf_FACE.csv,22.1,43,18
111,447_SituationHandledDifferent_FACE.csv,18.033333333333335,34,6
112,447_EventToErase_FACE.csv,1.1333333333333333,0,0
113,447_HardestDecision_FACE.csv,4.6,3,6
114,447_LastTimeHappy_FACE.csv,15.5,24,2
115,447_HowCloseToFamily_FACE.csv,16.833333333333332,27,1
116,447_LastArgument_FACE.csv,7.433333333333334,12,5
117,447_MostProudOf_FACE.csv,11.533333333333333,26,3
118,364_LastTimeHappy_FACE.csv,31.233333333333334,52,22
119,364_SituationHandledDifferent_FACE.csv,4.6,6,2
120,364_MostProudOf_FACE.csv,34.53333333333333,65,20
121,364_HowCloseToFamily_FACE.csv,20.433333333333334,25,10
122,364_LastArgument_FACE.csv,36.6,73,27
123,454_EventToErase_FACE.csv,15.5,38,11
124,454_HardestDecision_FACE.csv,10.3,19,5
125,454_LastTimeHappy_FACE.csv,0.6,0,1
