name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;spectralFlux_sma3;mfcc1_sma3;mfcc2_sma3;mfcc3_sma3;mfcc4_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';0.000000;5.723073e-02;-4.952604e+00;1.368115e+01;-1.919813e-02;2.576111e-02;4.501454e-03;-3.855800e+00;1.541691e+01;3.647084e+00;2.490176e+00;0;0;0;0;0;0;6.394405e+02;1.292459e+03;-201;1.549880e+03;-201;2.492708e+03;-201
'unknown';0.010000;6.478976e-02;-7.937320e+00;1.762676e+01;-9.872215e-03;1.634631e-02;9.091533e-03;1.378186e-01;1.583982e+01;3.929601e+00;-2.710466e+00;0;0;0;0;0;0;6.196675e+02;1.234988e+03;-201;1.616604e+03;-201;2.442493e+03;-201
'unknown';0.020000;6.888295e-02;-1.013267e+01;1.947235e+01;-4.600644e-03;1.298834e-02;1.197554e-02;4.003662e+00;1.242949e+01;6.464090e+00;-6.591434e+00;0;0;0;0;0;0;6.047686e+02;1.253906e+03;-201;1.617245e+03;-201;2.469485e+03;-201
'unknown';0.030000;6.004542e-02;-1.298733e+01;2.245995e+01;4.224495e-03;9.104984e-03;1.245677e-02;9.012530e+00;1.309048e+01;5.398070e+00;-8.494216e+00;0;0;0;0;0;0;4.594215e+02;1.448412e+03;-201;1.466597e+03;-201;2.399893e+03;-201
'unknown';0.040000;6.219745e-02;-1.200674e+01;2.089833e+01;1.439992e-02;1.074252e-02;1.104843e-02;1.080415e+01;1.106200e+01;3.603207e+00;-9.443580e+00;0;0;0;0;0;0;4.374996e+02;1.413474e+03;-201;1.385445e+03;-201;2.453764e+03;-201
'unknown';0.050000;7.345350e-02;-1.001666e+01;2.068740e+01;1.553630e-02;6.382456e-03;1.095034e-02;1.027715e+01;1.014647e+01;-1.238077e+00;-1.110882e+01;0;0;0;0;0;0;4.455085e+02;1.317887e+03;-201;1.401166e+03;-201;2.387961e+03;-201
'unknown';0.060000;6.275398e-02;-1.009807e+01;2.190929e+01;2.677173e-03;7.024499e-03;8.506837e-03;9.162120e+00;6.959863e+00;-1.403104e+00;-7.945773e+00;0;0;0;0;0;0;4.761996e+02;1.197209e+03;-201;1.426746e+03;-201;2.338225e+03;-201
'unknown';0.070000;6.116096e-02;-9.474183e+00;2.181335e+01;-1.588782e-03;3.493723e-03;7.038366e-03;6.676044e+00;5.509114e+00;4.746118e-01;-7.230587e+00;0;0;0;0;0;0;4.839766e+02;1.140855e+03;-201;1.450567e+03;-201;2.330474e+03;-201
'unknown';0.080000;5.712894e-02;-8.418525e+00;1.912679e+01;1.653799e-02;3.718874e-03;6.703539e-03;5.531889e+00;4.293405e+00;3.079984e-01;-9.155956e+00;0;0;0;0;0;0;4.569374e+02;1.249706e+03;-201;1.462322e+03;-201;2.407154e+03;-201
'unknown';0.090000;5.942684e-02;-6.959746e+00;1.716574e+01;2.886175e-02;1.052165e-03;5.779339e-03;5.218179e+00;4.077806e+00;-9.136862e-01;-1.274712e+01;0;0;0;0;0;0;5.782236e+02;1.266728e+03;-201;1.565785e+03;-201;2.520143e+03;-201
'unknown';0.100000;6.436864e-02;-5.260581e+00;1.442327e+01;3.030589e-02;-7.617194e-04;5.532406e-03;5.988823e+00;3.383298e+00;-4.495484e+00;-1.568614e+01;0;0;0;0;0;0;6.917999e+02;1.408366e+03;-201;1.662733e+03;-201;2.614376e+03;-201
'unknown';0.110000;6.572991e-02;-5.273156e+00;1.359391e+01;2.232902e-02;-6.867333e-04;5.056557e-03;6.275656e+00;6.334846e+00;-3.230460e+00;-1.430706e+01;0;0;0;0;0;0;6.866992e+02;1.398210e+03;-201;1.630672e+03;-201;2.530668e+03;-201
'unknown';0.120000;6.615581e-02;-7.693198e+00;1.677999e+01;6.760597e-03;4.554514e-04;8.283045e-03;5.346735e+00;8.070260e+00;6.803586e-01;-1.238541e+01;0;0;0;0;0;0;5.538922e+02;1.266710e+03;-201;1.526170e+03;-201;2.428843e+03;-201
'unknown';0.130000;6.618873e-02;-1.105785e+01;2.058229e+01;1.129481e-03;-4.194168e-03;1.031402e-02;4.635952e+00;8.764489e+00;2.949064e+00;-1.113018e+01;0;0;0;0;0;0;4.428053e+02;1.113536e+03;-201;1.449682e+03;-201;2.336240e+03;-201
'unknown';0.140000;6.479784e-02;-1.438017e+01;2.544255e+01;-1.080884e-02;-7.290266e-03;1.065731e-02;5.292113e+00;8.120177e+00;1.808392e+00;-1.079417e+01;0;0;0;0;0;0;4.538112e+02;9.540588e+02;-201;1.473490e+03;-201;2.345081e+03;-201
'unknown';0.150000;6.689372e-02;-1.355327e+01;2.374385e+01;-6.512413e-03;-1.128319e-02;8.727483e-03;5.872713e+00;5.233662e+00;-1.412907e+00;-1.171311e+01;0;0;0;0;0;0;4.482166e+02;9.879641e+02;-201;1.496912e+03;-201;2.307842e+03;-201
'unknown';0.160000;6.878980e-02;-1.145298e+01;2.088511e+01;4.550018e-03;-5.773625e-03;8.433599e-03;6.543354e+00;4.498834e+00;-8.060100e-01;-1.184281e+01;0;0;0;0;0;0;4.831403e+02;1.174081e+03;-201;1.540669e+03;-201;2.361564e+03;-201
'unknown';0.170000;6.983195e-02;-1.082569e+01;2.106120e+01;1.232495e-02;-2.469187e-03;1.094938e-02;6.753468e+00;3.480580e+00;-3.245561e-01;-1.166200e+01;0;0;0;0;0;0;4.846863e+02;1.177644e+03;-201;1.519986e+03;-201;2.384094e+03;-201
'unknown';0.180000;6.970966e-02;-1.209718e+01;2.311370e+01;9.294099e-03;8.800913e-04;1.020225e-02;6.752699e+00;6.008785e+00;1.734140e+00;-9.494112e+00;0;0;0;0;0;0;4.833768e+02;1.149983e+03;-201;1.513682e+03;-201;2.417154e+03;-201
'unknown';0.190000;6.705350e-02;-1.370299e+01;2.594828e+01;3.719412e-03;2.672861e-03;8.878037e-03;6.757487e+00;7.425490e+00;1.103133e+00;-7.796556e+00;0;0;0;0;0;0;4.441722e+02;9.943726e+02;-201;1.444758e+03;-201;2.341021e+03;-201
